MSB	PRG	LSB	NME
000	000	000	GrandPno
000	000	001	GrndPnoK
000	000	018	MelloGrP
000	000	040	PianoStr
000	000	041	Dream
000	001	000	BritPno
000	001	001	BrtPnoK
000	002	000	EGrndPno
000	002	001	EGndPnoK
000	002	032	Det.CP80
000	002	040	LayerCP1
000	002	041	LayerCP2
000	003	000	HnkyTonk
000	003	001	HnkyTnkK
000	004	000	ElPiano1
000	004	001	EPiano1K
000	004	018	MelloEP1
000	004	032	Chor.EP1
000	004	040	HardEPno
000	004	045	VX EPno1
000	004	064	60sElPno
000	005	000	ElPiano2
000	005	001	EPiano2K
000	005	032	Chor.EP2
000	005	033	DX Hard
000	005	034	DX Legnd
000	005	040	DX Phase
000	005	041	DX Analg
000	005	042	DX Kt EP
000	005	045	VX EPno2
000	006	000	Hrpschrd
000	006	001	HpschrdK
000	006	002	Hpschrd2
000	006	003	Hpschrd3
000	007	000	Clvichrd
000	007	001	ClvchrdK
000	007	027	ClaviWah
000	007	064	PlsClavi
000	007	065	PrcClavi
000	008	000	Celesta
000	009	000	Glocken
000	010	000	MusicBox
000	010	064	Orgel
000	011	000	Vibes
000	011	001	VibesK
000	011	045	HardVibe
000	012	000	Marimba
000	012	001	MarimbaK
000	012	064	SMarimba
000	012	097	Balafone
000	012	098	Log Drum
000	013	000	Xylophon
000	014	000	TubulBel
000	014	096	ChrchBel
000	014	097	Carillon
000	015	000	Dulcimer
000	015	035	Dulcmer2
000	015	096	Cimbalom
000	015	097	Santur
000	016	000	DrawOrgn
000	016	032	DetDrwOr
000	016	033	60sDrOr1
000	016	034	60sDrOr2
000	016	035	70sDrOr1
000	016	036	DrawOrg2
000	016	037	60sDrOr3
000	016	038	EvenBar
000	016	040	16+2”2/3
000	016	064	Organ Ba
000	016	065	70sDrOr2
000	016	066	CheezOrg
000	016	067	DrawOrg3
000	017	000	PercOrgn
000	017	024	70sPcOr1
000	017	032	DetPrcOr
000	017	033	Lite Org
000	017	037	PercOrg2
000	018	000	RockOrgn
000	018	064	RotaryOr
000	018	065	SloRotar
000	018	066	FstRotar
000	019	000	ChrchOrg
000	019	032	ChurOrg3
000	019	035	ChurOrg2
000	019	040	NotreDam
000	019	064	OrgFlute
000	019	065	TrmOrgFl
000	020	000	ReedOrgn
000	020	040	Puff Org
000	021	000	Acordion
000	021	032	AccordIt
000	022	000	Harmnica
000	022	032	Harmo. 2
000	023	000	TangoAcd
000	023	064	TngoAcd2
000	024	000	NylonGtr
000	024		
000	024		
000	024		
000	024		
000	025		
000	025		
000	025		
000	025		
000	025		
000	025		
000	026		
000	026		
000	026		
000	026		
000	027		
000	027		
000	027		
000	027		
000	028	000	MutedGtr
000	028	040	FunkGtr1
000	028	041	MuteStrG
000	028	043	FunkGtr2
000	028	045	Jazz Man
000	028	096	Mu.DstGt
000	029	000	OvrDrvGt
000	029	043	Gt.Pinch
000	030	000	Dist.Gtr
000	030	012	DstRthmG
000	030	024	DistGtr2
000	030	035	DistGtr3
000	030	036	PowerGt2
000	030	037	PowerGt1
000	030	038	Dst.5ths
000	030	040	FeedbkGt
000	030	041	FeedbkG2
000	030	042	RckRthm2
000	030	043	RckRthm1
000	031		
000	031		
000	031		
000	032		
000	032		
000	032		
000	033		
000	033		
000	033		
000	033		
000	033		
000	033		
000	033		
000	033		
000	034	000	PickBass
000	034	028	M.PkBass
000	035		
000	035		
000	035		
000	035		
000	035		
000	035		
000	036		
000	036		
000	036		
000	036		
000	036		
000	037	000	SlapBass
000	037	043	VeloSlap
000	038	000	SynBass1
000	038	018	SynBs1Dk
000	038	020	FastResB
000	038	024	AcidBass
000	038	027	ResoBass
000	038	035	Clv Bass
000	038	040	TechnoBs
000	038	064	Orbiter
000	038	065	Sqr.Bass
000	038	066	RubberBa
000	038	067	Fish
000	038	068	HardReso
000	038	096	Hammer
000	039	000	SynBass2
000	039	006	MelloSBs
000	039	012	Seq Bass
000	039	018	ClkSynBs
000	039	019	SynBs2Dk
000	039		
000	039		
000	039		
000	039		
000	039		
000	039		
000	039		
000	040		
000	040		
000	041		
000	042		
000	043		
000	044		
000	044		
000	044		
000	045		
000	046		
000	046		
000	047		
000	048	000	Strings1
000	048	003	S.Strngs
000	048	008	Slow Str
000	048	024	ArcoStr
000	048	035	60sStrng
000	048	040	OrcheStr
000	048	041	OrchStr2
000	048	042	TremOrch
000	048	045	Velo.Str
000	049		
